"","H.G","Elec","P.A","Fashion"
"31",8070865.40589232,4617784.19703417,5238547.86692695,2877112.73627541
"32",7807096.95749125,4436292.96781956,5066987.55014448,2981093.29449927
"33",7423043.96236329,4363218.10812253,4791053.16672418,2770538.15868139
"34",7110733.43154238,4241988.80310733,4496561.72894614,2948016.83631668
"35",6466607.59205637,3778428.77449462,3944599.74349955,2679989.31825559
"36",6205973.11410492,3257805.86941554,3272523.65274665,2599743.17087124
"37",10816493.8332149,4920097.7422559,5276518.43175163,4274402.65644255
"38",8939690.33594006,4987037.83015185,5877985.81010076,3429974.10346682
"39",8006357.22179877,4553225.94422263,5329906.00370542,3137121.59421926
"40",6920155.62710303,4128225.91555013,4577070.82177777,2736509.67523943
"41",6942416.00498676,4409371.53478982,4478928.11214017,2787731.37197687
"42",5533834.42276236,3552077.71887127,3672376.98450077,2328284.75636104
"43",5178547.8938488,2940942.25596915,2978039.2460648,2150600.39782829
"44",9047508.94690653,4197439.53257136,4827560.23181908,3582617.05056295
"45",8052136.97201563,4505690.45435185,5618970.53221151,2951669.65836382
"46",7435931.83361918,4384607.5781415,5299613.86415178,2836338.28326334
"47",7381163.17316916,4323930.59099314,4981953.83588267,2934461.61942394
"48",7001438.11480486,4552177.46070484,4630808.40671891,2856111.87271562
"49",6160334.45406057,3958440.86284987,3864354.91034491,2616886.1162381
"50",5774954.6750197,3357021.75803618,3253547.36317718,2486097.68228311
"51",8419229.87864335,4102935.38364654,4479742.80498906,3386470.55839633
"52",8318268.96892043,4836034.78825581,5814819.00427956,3177765.69851295
"53",7272172.9375431,4377091.74950041,5155010.16575629,2824722.54999168
"54",6895603.08446956,4143600.48255077,4756010.73767902,2662259.77227291
"55",6451659.74722916,4664900.45841595,4292455.18624003,2618107.22828592
"56",5434501.39581789,3673016.18767423,3574386.42157786,2274631.95727759
"57",5259600.47246159,3060299.07109431,3033018.64824955,2196491.32372236
"58",9501133.85413209,4810834.97237313,5037689.02339107,3723859.98440008
"59",8259588.84159817,4735105.55120076,5678066.70404792,3167884.78861459
"60",7388023.06521845,4288063.28443344,5083414.20692374,2981519.79101031
"61",7161718.10262984,4449586.72729351,4864053.54117924,2896090.10981984
"62",6934425.46319167,4703134.38415836,4835152.73985526,2872119.69393466
"63",5904516.29139894,3875403.58142903,4344087.30205216,2588313.81942266
"64",5253355.76323172,3138507.05205825,3349741.91054436,2343301.40929884
"65",9013300.18830034,4473984.20437705,5326046.14300648,3634934.06851287
"66",8344030.04900836,4994552.77293668,6576384.37606406,3389434.11010334
"67",7990126.51186774,5241347.01795267,6410229.46492468,3302323.50374457
"68",7318442.05899495,4831800.59193573,5581817.48908497,3026779.68082051
"69",5635978.15079302,4144344.02096477,3921197.9739743,2463840.45188623
"70",6192157.4023816,4200252.05906603,3628595.71570287,2621629.81723121
"71",5430366.51240066,3278319.88856596,3182185.03573316,2323923.98337102
"72",9450694.87624409,4686919.96052853,5392804.30310873,3762962.00913086
"73",8520097.2227039,5195111.34314171,6354085.64179667,3203776.98060248
"74",8270473.22099354,5069674.51310529,5937683.43165323,3119843.26683159
"75",7841866.03748949,5111101.02807805,5822374.0674062,3079625.37708892
"76",7034636.17028019,4649675.05516194,4770995.06762097,2910121.98912446
"77",5884012.75716141,3920916.36118748,3906288.63399611,2464961.59624579
"78",5969488.37861056,3444874.60903709,3484554.53630194,2558936.62922855
"79",9703725.26140683,4594456.06752968,5345114.11222715,3791725.50968466
"80",8595815.53162325,5104993.55672396,6119478.81922409,3121453.24479087
"81",7675969.42846929,4698916.66380045,5461892.67361612,2910160.71850373
"82",7541642.38739224,4694820.17126381,5265548.03258061,2948637.08211575
"83",7224413.02982908,4421879.88592141,4843603.12253837,2916404.75273419
"84",5918161.12027359,3567923.06871763,3843423.76060587,2437786.44638404
"85",5311903.19847021,3056390.73122085,3187434.35098386,2206935.47734184
"86",8984175.8676588,4241241.26117731,5045647.02658053,3460516.84009712
"87",8231311.25596944,4811029.92975427,6057881.62599381,3023551.29069265
"88",7894344.66694335,4698086.72428086,5874344.35187234,2992308.28131611
"89",7892186.34673259,4517622.04361931,5483522.82000107,3159713.1445272
"90",7055346.27924345,4221093.97651403,4863074.73814223,2924470.94796039
"91",6029062.3318589,3808291.68828215,3915071.58829851,2565064.93208571
"92",5938352.03109443,3176122.08646553,3485008.20684089,2514909.80169891
"93",9791308.62055686,4541169.67601146,5570459.23833522,3947871.10712098
"94",8435463.34990248,4822080.34894311,6058440.97488003,3187448.69129863
"95",7964510.28739981,4655637.99835082,5599531.97773026,3104687.1732852
"96",8078323.96984478,4666159.48347688,5619085.62000449,3186474.95439823
"97",7563369.28125442,4796583.00121391,5157742.13809007,3165672.65697388
"98",6463872.18850747,4213894.31387596,4214282.22201822,2679358.99504637
