"","H.G","Elec","P.A","Fashion"
"397",8470024.69400613,4626908.13584141,5503272.6139414,2942984.72645025
"398",8113664.42971787,4498352.36719141,5165003.21717906,3131510.2069294
"399",7378688.07848568,4006777.20072284,4530988.69620854,2846799.85581928
"400",7081292.49851184,3454690.57669379,3759004.37125601,2761558.94860831
"401",12342102.5571734,5217442.65554817,6060905.26903301,4540454.24106191
"402",10200585.943731,5288428.25141448,6751784.46328564,3643465.93350191
"403",9135611.17534854,4828399.04941469,6122229.2311002,3332385.40962693
"404",7896206.64313925,4377714.24712693,5257480.48059807,2906838.20859048
"405",7921606.72851245,4675850.83365114,5144748.25504943,2961248.09667984
"406",6314352.23218257,3766746.67397234,4218298.35394839,2473204.15180951
"407",5908954.43464784,3118677.38764923,3420743.05080544,2284460.18823968
"408",10323611.7943105,4451110.77229956,5545206.67824016,3805609.83341416
"409",9187847.9149917,4777990.76374708,6454264.97523223,3135390.39152803
"410",8484730.33071572,4649590.27329123,6087433.97915411,3012880.44726407
"411",8422236.84302776,4585246.28714658,5722551.83878067,3117111.27286167
"412",7988953.59189982,4827287.20104988,5319206.48723057,3033884.80396741
"413",7029216.74905686,4197668.27596158,4438814.9762888,2779768.92208332
"414",6589481.20908202,3559902.5534705,3737207.13981905,2640839.82546728
"415",9606717.31680267,4350895.28806395,5145684.0569886,3597254.5978855
"416",9491516.40962522,5128299.37731922,6679227.52423925,3375559.32433437
"417",8297874.11638372,4641620.22736976,5921334.05382211,3000541.71606923
"418",7868191.09541243,4394017.97235389,5463020.91282701,2827966.76995458
"419",7361631.91992716,4946822.58577771,4930554.98466887,2781066.03979121
"420",6201008.81196094,3894994.02979414,4105740.89265703,2416211.84230492
"421",6001439.04686949,3245247.50293698,3483895.47843359,2333207.5023908
"422",10841218.0735536,5101576.6166779,5786572.40385772,3955644.14920194
"423",9424559.76353946,5021270.50631117,6522146.15557791,3365063.39709975
"424",8430064.28623713,4547211.34861741,5839094.91645487,3167098.48556235
"425",8171840.21654007,4718496.42155638,5587124.94192981,3076351.40592324
"426",7912489.16344538,4987367.16954572,5553927.85917734,3050888.99977817
"427",6737316.79993824,4109612.65658538,4989862.53126891,2749418.20019778
"428",5994313.55473282,3328181.96425492,3847701.59682341,2489155.48606561
"429",10284578.0728864,4744368.35424792,6117795.5784274,3861183.21877889
"430",9520910.9525641,5296397.35794315,7554004.26088173,3600402.60989988
"431",9117091.21041042,5558106.55327711,7363149.40281085,3507869.97929079
"432",8350669.25046272,5123809.28837189,6411588.90430422,3215175.4860595
"433",6430902.78787701,4394806.44633156,4504108.11006922,2617197.23859086
"434",7065528.15438896,4454093.27315053,4168008.7309376,2784807.88519086
"435",6196290.72530694,3476444.35561425,3655236.36457958,2468571.95128743
"436",10783664.9470441,4970172.8311579,6194477.7486023,3997180.00070986
"437",9721811.46138052,5509076.63667708,7298659.45592228,3403189.62629036
"438",9436979.32655506,5376059.06225209,6820356.50253763,3314031.62754996
"439",8947919.38743651,5419989.17860593,6687905.69385132,3271310.45625988
"440",8026834.05591098,4930677.03897219,5480232.75534639,3091256.67129472
"441",6713921.35163071,4157875.99014576,4486982.40523177,2618388.16632308
"442",6811452.85327353,3653064.77020595,4002554.94649987,2718212.4859663
"443",11072383.917527,4872120.90522014,6139698.11825819,4027733.8274254
"444",9808209.43363925,5413512.60370241,7029176.88981871,3315741.81534479
"445",8758623.94715926,4982894.55228131,6273836.52925536,3091297.81130621
"446",8605350.79388629,4978550.48921213,6048304.0527198,3132169.05867911
"447",8243377.92859717,4689115.12394845,5563634.44309092,3097930.49287174
"448",6752886.15909871,3783549.63369211,4414772.28272462,2589521.55398948
"449",6061118.79322464,3241102.96349156,3661266.02274781,2344301.73131763
"450",10251345.9222647,4497559.64774621,5795713.41304508,3675909.74126015
"451",9392293.77538473,5101783.35626107,6958422.89590474,3211746.15129019
"452",9007799.84747901,4982014.45556822,6747601.67995051,3178558.48371904
"453",9005337.10772216,4790643.43571695,6298682.12960532,3356383.12548403
"454",8050465.21520677,4476194.76682263,5586000.63381619,3106498.75217432
"455",6879429.39466158,4038444.87245948,4497070.99957624,2724722.23269228
"456",6775924.89012523,3368070.25414009,4003076.05794779,2671445.29722797
"457",11172320.4420236,4815614.16355937,6398542.17989562,4193598.39309386
"458",9625240.43253949,5113501.60485242,6959065.39543463,3385845.01550431
"459",9087861.95420359,4937000.3511859,6431936.76036827,3297932.17348546
"460",9217728.44909603,4948157.69971274,6454397.17153173,3384810.67031169
"461",8630142.15016401,5086463.33109962,5924472.15060445,3362713.57578038
"462",7375566.86086588,4468559.99431988,4840761.12971013,2846130.29941145
"463",8008212.15872988,3934255.12065021,4728088.02893807,3076967.42286974
"464",12369806.4622679,5444699.14972957,6821803.55471332,4597928.73344972
"465",10726208.544846,5718773.46856368,7687634.68293193,3660545.00763106
"466",9926632.77458878,5481653.1538441,6845530.03301869,3510458.51648601
"467",9635751.18443254,5314695.15498845,6408541.88939275,3516331.52957298
"468",8942153.66022424,4959539.84027147,5778009.54308742,3430962.19189525
"469",7759021.44184458,4398833.70064398,4836324.39932083,2951725.67351749
"470",7425682.99582471,3685449.730461,4204742.01303719,2842571.10167119
"471",12548470.3136173,5249229.57345607,6546610.02188726,4610917.62577412
"472",10728048.6242902,5418310.50094656,7274602.80619271,3622937.1696658
"473",9743683.38135204,5194426.25853409,6590716.26637292,3540688.62795489
"474",9629739.91626096,5165498.36062218,6330076.94433643,3535640.50256382
"475",9003345.24310902,4935714.57283214,5401222.121769,3404240.19730216
"476",7790636.76403405,4201717.92552424,4491868.31130127,3012746.2175441
"477",8047272.02397117,4181543.24966584,3889023.89545738,3116412.40043161
"478",13696309.6418654,6238930.73254956,6179365.75460622,4869493.61071924
"479",10805964.3731081,5707219.79345259,6730403.71190133,3663750.55472962
"480",10174925.2274166,5362881.10847516,6010293.22035077,3564641.19793538
"481",9890123.88448719,5252972.00474157,5685880.81816049,3580718.9310668
"482",9106552.37474597,5071992.81490757,5107044.65404957,3444397.81329107
"483",7778449.12323643,4336044.12132651,4286898.94685594,2933946.15887445
"484",7655112.59349197,4634407.01058753,3547951.96451606,3081653.71700793
"485",13046107.442811,6106588.3170347,5724152.87826605,4890130.92314272
"486",11169022.7796785,5773994.3521763,6298795.01770025,3772543.76923429
"487",10425871.0693605,5436476.27470804,6017391.82260364,3775996.7318654
"488",10485778.9101038,5802969.16513577,5936593.1827222,3946659.46858199
"489",10412588.4479054,6512925.60388138,5754914.6931044,4402347.2232302
"490",9994252.22112094,7421337.46064885,4927611.27404596,4254882.72515905
"491",9194541.04463984,5770679.72274413,4207097.66287944,4023623.88837409
"492",15459471.0336623,8151359.35044524,6429358.43328535,6374075.08101825
"493",13047637.337844,7639518.29679801,7091601.25086534,5447764.05501449
"494",11969430.8034594,6660820.38182824,6728878.82911638,5007448.72941172
"495",11444920.2259583,6546592.86670003,6363644.57883446,5067206.07423779
"496",10381031.6368286,6346672.54527664,5425645.63168819,4753465.39599498
"497",8649281.5464974,5441985.84714221,4360888.99099858,3937998.74016421
"498",8792177.97399937,5917142.25340541,3716660.65801351,4092901.17402996
"499",14973466.7963829,8071809.9533393,5872702.08125812,6587656.40691875
"500",12716130.6255577,7451242.97289266,6672154.29276558,5367687.24553877
"501",11638586.9697383,6849304.58567175,6177620.43783834,5091401.47860857
"502",11500152.6330081,7004297.52561498,5753575.4382465,5213412.61998314
"503",10824148.4915517,6974132.39500609,5191168.30179731,5014620.73328352
"504",9409718.16075352,6205416.40470699,4350558.87433037,4504943.66426681
"505",9182487.80753937,6357860.8857067,3718393.59869984,4415563.7396499
"506",15033148.7170496,9018891.23859984,5779515.90129545,6924166.11816892
"507",13070792.3359455,8281009.43568949,6438924.03049113,5957284.78973088
"508",11673078.0597269,7452479.69955997,5654502.54814886,5399006.25841404
"509",10701330.8280413,7252813.52008038,5126122.16162929,5165530.1374942
"510",9088264.2148475,6362752.0948074,4468799.26902903,4396867.70318227
"511",7109561.99800783,5025919.9279752,3559323.75610165,3532337.92777503
"512",6738082.50911478,4629412.79528338,2995213.33932347,3207850.99559558
"513",9079338.61414243,5102102.09051547,3836659.12817649,4202714.76462846
"514",6611514.23642033,4320910.2946921,4021158.83499305,2736891.80013641
"515",5087722.88660441,3335127.08225649,3297818.95328393,2091955.09559847
"516",3489564.95435706,2590953.71440007,2161910.14980881,1647373.93670441
"517",5195644.05572843,3651008.7066344,2501230.813442,2338925.25311967
"518",6271175.47090193,4105514.07832568,2974067.77387568,2728518.96153015
"519",6956504.36196796,4460875.48414974,3447670.85025824,2843052.57295201
"520",9056509.64558452,4835373.19358067,4187344.81481861,3854660.98110604
"521",9153979.36813762,5543695.03857426,5240743.30663005,3462664.2266273
"522",8103334.90082802,4835474.02945717,4292163.85820617,3145055.49590089
"523",5087841.18477274,3048848.28256932,2444578.68636262,2006099.53624364
"524",6809896.93160233,3719709.09903132,2740161.31350644,2614758.7394464
"525",8825749.23909321,5037319.73474376,4431641.1215881,2959207.51380599
"526",8142349.54820234,4207320.25976932,3617645.63727865,2930037.33873822
"527",10665381.49114,4964755.87876827,4517286.18206688,3917114.58767184
"528",9577122.737208,5530125.70299823,5633465.88687813,3158390.29831625
"529",9479528.75340473,5306383.01539294,5313310.47165351,3355067.88631289
"530",9006179.32141525,5297674.67301487,5427144.50887768,3118031.71009903
"531",8431502.62583098,5075302.30527559,5020128.98766086,3086332.21417737
"532",7428942.56214988,4351406.27088177,4273782.32668816,2880874.48340709
"533",7717406.43511875,4104193.58602394,3747061.78549023,2963242.05583141
"534",11609498.7964007,5235548.06681881,5120188.38810679,4380630.27323721
"535",9490217.72072017,5196050.7878123,5949611.24289125,3446589.95756157
"536",8776902.58956294,5055222.51657071,5614418.59380553,3218104.24641053
"537",8776994.60069603,5003740.81436349,5505059.95882909,3324243.51268148
"538",8229027.85040391,5073087.86306441,5095841.29845735,3275551.51076205
"539",7140015.61291509,4204460.17332381,4263641.65103953,2819035.15611303
"540",7474015.63551724,3915960.54414119,3880790.67897176,3006822.95857914
"541",11781418.3631932,5059006.98248758,5566568.89026998,4623093.30893023
"542",9574403.93646986,5255148.29192507,6235537.16750489,3561021.55394123
"543",8794927.30623701,4834600.71452411,5706649.01888804,3404411.15515016
"544",8451085.5686863,4907889.05496257,5302611.6324105,3330967.30933003
"545",7951735.30338346,4814950.39196835,4955346.45259986,3247471.64755088
"546",7073569.81284866,4204091.10524455,4159769.95788436,2909481.70830678
"547",7396259.04109178,3946057.74238364,3762202.1577026,3092427.45779807
"548",11474709.6733373,5315998.73447167,5437961.40900932,4649447.77405158
"549",9586114.20522914,5414361.11265512,6224970.53323587,3638695.84767801
"550",8984060.40226379,5089923.24872789,5723258.75306804,3544996.62806537
"551",8880124.53776551,5201300.93305017,5598626.55134711,3585857.99100324
"552",8829436.38962972,5065050.01685406,5414580.78785655,3721578.20057509
"553",8033265.05733732,4605253.52234783,4839576.70761948,3460501.10378013
"554",8195745.57343952,4206305.18760874,4275335.99901327,3426985.80555253
"555",12658767.7187531,5691585.73450687,6072627.90510904,5289555.32277134
"556",10126455.3717442,5360102.99967508,6438696.12864328,4115663.09836824
"557",9224643.69703071,5056294.18591722,5979325.23435674,3816324.6851042
"558",9076398.3981886,5279739.42624143,5786284.98067514,3829133.45729603
"559",8406975.53302708,4893863.70327593,5167743.55954333,3693333.29212317
"560",7258335.79775779,4194103.04572791,4398414.88464996,3179674.33036616
"561",7625070.76974352,3716840.65738825,3946121.4688509,3273187.09974574
"562",11945895.9648602,5095710.9491575,5771097.24161078,5131610.42370117
"563",9766287.43236027,5150986.90062193,6567554.85213073,4011609.41403418
"564",9024786.02445563,4785824.64568291,6093517.06943336,3590580.61833861
"565",8646810.72142661,4911540.57990344,5794405.87570395,3348618.65354236
"566",7916693.73501525,4642424.8290636,5262498.80935638,3007769.17884318
"567",6987300.63274068,4020658.00626716,4550874.02995481,2567143.27210601
"568",6963928.45086799,3590930.43952346,3949790.4735345,2604281.82508024
"569",11382630.5897364,4743636.66696086,5767517.74576382,4139008.56544757
"570",9738300.09860339,4998247.07519713,6480886.3509919,3156026.3612112
"571",9143992.20867683,4833451.98169351,6069541.88213911,3012185.99800763
"572",8846276.79659819,4731071.93424676,5931842.89440272,2979748.67866011
"573",8291039.47421239,4546097.46438104,5288196.48760263,2951580.73565478
"574",7305311.32857102,4017497.70621679,4682377.93483664,2610887.08749386
"575",7779888.12684152,3855515.09814772,4287880.4302467,2680607.97666353
"576",12359212.5787658,5000187.98870752,6125105.8910353,4160677.57141732
"577",10071967.2692716,5097582.54713959,6748608.99650244,3165760.06987355
"578",9441968.17357798,4939097.70813551,6375367.50524813,3105949.77110511
"579",9347212.17402958,4740451.52622227,6383738.46822804,3215789.14473329
"580",9082155.76667063,4786522.67014615,6242579.66840899,3278515.23899447
"581",8619296.54128361,4653877.3084367,5491876.51050035,3122172.7806073
"582",8758871.77960882,3885125.60332285,4916918.66242184,3081786.50243173
"583",14467325.0236027,5565750.75840072,7529066.71776222,4882944.31829043
"584",11140249.256554,5636283.05315752,7884487.84934971,3619865.27682839
"585",10348018.492754,5098154.38900325,7181555.12476875,3382496.80983066
"586",9843290.95986352,4923313.96408393,6945884.67797418,3313042.81168993
"587",9275483.26578028,4743590.15673613,6384984.71780955,3204241.3714397
"588",8040419.68785173,4104280.44409355,5369694.89025768,2804280.57195756
"589",8082427.45074602,3588103.99877242,4921041.50487847,2837045.01419942
"590",13470405.5144957,4676611.44106496,7495959.63682405,4204657.32691489
"591",11567481.4118528,4939894.53309062,8826850.68213283,3540762.20832102
"592",10609770.5195359,4840196.26790098,7937643.8409638,3421727.54564867
"593",10213716.5847199,4811361.69406456,7449276.76752697,3271103.32318517
"594",9586465.03754738,4867558.55022779,6772409.53337357,3223267.03576123
"595",8343130.40478822,4245618.43861048,5678521.24961498,2935205.87144211
"596",8728534.48385578,3781472.28224789,5194465.3777373,3062117.85335589
"597",14291814.0280581,5092423.35323086,7700785.59449128,4497707.12947736
"598",11326683.5893599,5056828.34505286,8357329.09786876,3415211.33341897
"599",10407254.7707062,4609605.84932095,7598797.83540791,3240618.0330658
"600",9854618.25034624,4568298.539905,7826195.86602398,3147202.06570445
"601",9190525.85950615,4472275.7744626,7816601.20219519,3145733.35826775
"602",7885139.1503292,3761332.399094,6293851.60720427,2677577.92342088
"603",8552970.25022951,3761926.99003522,5664039.88357323,2909054.1162237
"604",13973890.0312705,4800139.13443394,8459687.36073172,4438560.63370817
"605",11319512.0981665,5156152.7067192,9210592.44128703,3337332.64852257
"606",10144609.5706199,4642738.98673971,8388262.81875642,3077568.15053601
"607",9906535.54847944,4738870.84204916,8674088.45494629,3158650.1370942
"608",9016041.88111041,4380884.41983225,6695671.34100682,3150643.92527155
"609",8174998.13705863,4851394.62782088,5870253.04349026,2872457.30024652
"610",8126865.9376371,3591284.77636617,5281257.138244,2920381.43050899
"611",14016810.1456777,5306587.97074986,8168997.12246184,4825444.34823574
"612",12235752.0742072,6020700.3612134,9065038.08996893,3891342.69490174
"613",11101600.4533609,5276288.79713347,8011132.27146578,3747324.93091361
"614",9047825.00285879,4453770.2826466,6546418.20590068,3090676.25411142
"615",7405504.34370329,3754090.68063532,4985371.93059458,2743091.50734084
"616",8540803.71457491,3582003.65877127,4921422.49797482,2857858.71188329
"617",7275192.87010751,3273950.28097147,4408333.14720027,2402445.44212793
"618",8688106.37778139,3342760.65160772,4758542.14387222,3291330.73621283
"619",12603907.5876801,4509808.89609166,7391871.19084349,3645896.9406748
"620",11357395.0099053,4850968.16414517,8690591.64669473,3229118.92594595
"621",10422263.7694366,4557767.98854566,7803001.80957487,3187783.17782908
"622",9906142.38869646,4214485.63443803,7208885.77193629,3081420.38341017
"623",8202218.03000187,3521560.07948409,5835663.89465744,2580211.08194007
"624",8754325.69791856,3211206.96448891,5318710.06847199,2736661.36642424
"625",14176428.5778212,4475317.44870048,8180114.55801232,4124283.09298421
"626",12080303.2033129,4724261.05385388,9493944.80213088,3436376.16550142
"627",11227916.7533005,4597537.99784245,8728510.56647043,3278906.31734273
"628",10476198.255751,4206804.12671935,8144704.28698944,3112336.36860307
"629",9843906.27699264,4117186.32300878,6895266.50728822,3154044.36273714
"630",8518896.70616395,3705493.82684531,5677916.18096268,2690777.14207929
"631",8042640.28482468,3070227.75992129,4767352.37832874,2609522.79850647
"632",13611096.9557999,4270069.81734831,7661589.39258946,4069691.84360408
"633",11837090.8014113,4610203.91503482,8634044.29403636,3229357.98032971
"634",10636989.7354478,4260176.81366573,7707645.89794195,3106595.47520739
"635",10290384.1485498,4282337.29395006,7256261.80695273,3064808.92463888
"636",9383691.89971369,4062809.0669361,6498861.99212954,2959772.14523067
"637",7416301.74015653,3311807.34361683,5131525.5715453,2516159.71738589
"638",8046753.95194671,3313922.73794133,4825771.94869001,2705783.05717713
"639",13644190.8879147,4666741.98487048,7584254.07442395,4230501.86351215
"640",11564612.4273844,5083923.68837712,8532464.312091,3630177.36034216
"641",10639644.1270908,4802995.46497646,7552954.29617162,3444161.85061414
"642",9783704.91721921,4508777.03481948,6924341.90386996,3309255.45952501
"643",8221124.85312556,4290605.67838991,5482821.52531886,3071590.70771612
"644",10202089.1611339,4180749.89948232,5535687.18056072,3626098.85740487
"645",8587608.98508147,3606434.87483183,4948823.45655021,3019197.21055647
"646",15109563.0842605,5439714.45914338,8095858.38862931,4953816.84569143
"647",12115747.0453444,5157584.62789354,9133548.4622462,3744826.03064968
"648",11207936.8098125,4919377.63148787,8113588.88321853,3624648.44068638
"649",10596559.1295663,4753757.2063996,7445852.02538647,3450389.10109016
"650",9699787.75624037,4465552.17945768,6646614.23134714,3271541.23976374
"651",8055926.43465339,3725133.03912496,5296041.50700283,2668141.07503337
"652",8076234.13932212,3361726.45520793,4795479.89691363,2699794.13893441
"653",13174601.8430009,4623585.87153087,7392247.17017839,4099377.53257875
"654",11221006.8955754,4884473.1472122,8116980.46856271,3278540.75121769
"655",10076192.4772704,4263891.31183161,6895686.42300657,3088296.96002457
"656",7639472.36740113,3883245.71761462,5308091.6737127,2483768.07405769
"657",9383862.01680227,3953869.61592333,5326370.09326752,3096001.96738577
"658",8622053.06046684,3700349.25172103,5723778.04681667,2851130.05200243
"659",7792948.77322804,3168714.27407451,4480443.08356457,2582158.530026
"660",13221679.8138305,4558833.22562709,7396662.53922944,4270241.43334488
"661",10929693.9845165,5254185.63372914,8266956.33738674,3269475.72007053
"662",10344272.3493711,5289107.14326601,7647517.95432538,3307645.23315688
"663",9582877.90533863,4516166.65039519,6859354.7941463,3117828.95506165
"664",8530218.15074312,4127992.26977531,6053467.2878328,2993376.47107498
"665",6907924.54081763,3467760.95135246,4732841.73444538,2479825.08717577
"666",6472464.21800578,2768010.22333259,3935318.43572788,2347543.0474333
"667",8733098.94954448,3186845.03022107,4494702.27400204,2971188.83692434
"668",12585746.5013144,4978795.18577142,7156691.68365698,3890072.36446496
"669",10948856.608225,5005921.03737411,8111639.6646945,3327272.09905593
"670",10275362.0128115,4850704.64368911,7464937.84525772,3378322.48654842
"671",10105844.2659949,5004406.63252034,7249963.4669998,3572977.52280678
"672",8908288.85006087,4547202.27338731,6104592.77201638,3223272.48574076
"673",8513096.74982045,3799544.70944491,5093822.41503692,3147644.25876803
"674",13622911.6305694,5097920.89328131,7713481.71839788,4457905.81577654
"675",11801793.5366169,5228168.90929664,8442525.04406563,3726994.09239353
"676",10424997.3476808,4769947.58880628,7156914.75646071,3480441.23631074
"677",8873238.66256568,4871095.49763497,6032202.53999689,3204910.82752332
"678",9800399.35888215,4634386.46557329,5387681.27140013,3580432.48555623
"679",8338103.18832879,3773940.59457863,4967840.64066552,2788233.7558945
"680",7401434.31904873,3109068.56554785,4070062.58952174,2591825.57516998
"681",13121509.8568156,4667824.52834357,6580899.33456175,4188953.64517684
"682",11647842.2194991,5280153.99247582,8265307.56192263,3637146.94768461
"683",10454655.6333001,4951389.24950543,7421595.90911974,3358263.08634872
"684",9984920.2455061,4797090.36446316,7026848.24421993,3281400.91855443
"685",9275391.38484525,4412840.21658401,6296204.76338042,3277939.71889416
"686",7685677.98363306,3694219.59543459,4919034.00797428,2587806.66093279
"687",7504985.08303831,3186214.75820079,4373970.19817499,2638081.85371088
"688",12784155.1189766,4503614.69224963,6777376.99672867,4222497.77300653
"689",11232004.8885372,5218515.7323943,8310568.92428608,3349723.00219934
"690",10044264.8614571,4879441.08050154,7398471.63631398,3132532.95483108
"691",9124206.20856488,4723087.82893694,6771889.4743666,3015018.20457956
"692",9013562.44993246,4613625.6326855,6270607.72979894,2970808.41029593
"693",7636568.95850439,3807384.86470969,5075245.94055599,2525656.4027127
"694",7419942.46198196,3453533.92791287,4298845.10440113,2636316.6132238
"695",12067977.4221269,4873610.61450505,6687404.22886021,4025807.02833045
"696",10851288.0130888,5203134.8145687,7672467.35505836,3221223.42882231
"697",9927572.70210006,5010386.37879572,6904745.40600315,3188343.62303755
"698",9104626.72898416,4765482.79840048,6344910.25003077,2939950.63720378
"699",8520052.91907798,4433603.75956959,5925188.3794728,2782729.95353591
"700",7100071.3887937,3687093.70272894,4866697.75316875,2452071.15079718
"701",7435328.33268912,3302048.7090531,4396848.07099201,2575226.93457011
"702",12118424.169609,4459370.09796145,6432876.99873539,3913068.90873159
"703",11819734.5097494,5048815.87930134,8395305.25368999,3556100.09826186
"704",11329153.8024983,4938741.99937619,7782175.05338698,3485139.15255856
"705",10280426.7393985,4501672.32810598,6848766.15210321,3209250.45556915
"706",9899703.67953125,4242613.94106589,5969759.06980361,3086847.02850092
"707",8041595.82110447,3560445.2812343,4744666.34785901,2581929.78885409
"708",8382475.67770549,2860817.12609876,3613381.24841874,2413242.74307824
"709",13155254.89757,4340607.14996312,5736426.26291282,3680711.37637401
"710",11761857.5019681,4759396.52616787,7485478.57954711,3265002.91167484
"711",10428831.1796134,4438560.10097722,6933794.65186052,3078606.45627279
"712",9734358.25416747,4627282.34361111,6778582.10707785,3108900.6134644
"713",8882431.13071035,4444018.49642105,6211217.40285553,2928691.35175262
"714",7115328.19393393,3794074.76516138,4890921.67580906,2450706.86180979
"715",6559611.40331723,3024074.73955969,3992054.75441786,2288515.65007913
"716",11849166.9273715,4613848.92899405,6430254.68273219,3786586.26785919
"717",10663537.7661436,5225477.59109404,7867409.93539989,3154923.41172076
"718",10029215.7616526,4949819.5968919,7251462.48932481,3153166.29542682
"719",9136383.38141981,4719801.00893036,6663114.42803279,2842695.1874381
"720",8485083.50660343,4292715.46135022,5785684.76745489,2762581.27748028
"721",7123062.42818581,3527745.62450773,4658614.68451795,2320482.03702976
"722",6771923.12843544,3116625.02643406,3952615.51702506,2277371.27682679
"723",11995719.2578199,4603998.99449925,6512822.48112949,3791589.95842714
"724",10532720.3810437,5079494.92765213,7597453.85705982,3004735.08607116
"725",9696280.43558503,4533029.91295592,6771343.48893509,2721906.08268542
"726",9103393.92041462,4452477.28490468,6222544.80945921,2672052.12932272
"727",8378397.69793545,4365096.76244457,5748096.87468424,2630188.78256165
"728",6775433.61290928,3624511.63143793,4595087.54255627,2245289.40221368
